country,unit,window_start,parameter,m,point,lower,upper,within_sd,between_sd,truth,covers,half_width
BRAZIL,BRAZIL,2020-11-15,a_rain,72,-0.4495760869565216,-7.046386200173195,6.147234026260152,3.275766778205836,0.7669368171250511,0.3,True,6.596810113216674
BRAZIL,BRAZIL,2022-11-27,a_temp,72,12.707541754385964,-45.441932558715116,70.85701606748705,26.174869155579092,13.781566534271818,1.0,True,58.14947431310108
BRAZIL,BRAZIL,2022-11-27,a_rain,72,-1.1163925789473683,-9.334808483877165,7.102023325982429,3.7453614734712035,1.8610096504605078,0.3,True,8.218415904929797
CAMBODIA,CAMBODIA,2011-03-27,a_temp,72,1.4992419999999997,-3.284841311965139,6.283325311965139,1.9792398793180324,1.410260187981545,1.0,True,4.784083311965139
CAMBODIA,CAMBODIA,2011-03-27,a_rain,72,0.4380450845070423,-0.1890088859761752,1.06509905499026,0.17515226158447092,0.26268337988083934,0.3,True,0.6270539704832175
CAMBODIA,CAMBODIA,2013-03-17,a_temp,72,0.09370275,-1.8530912558588768,2.040496755858877,0.9473236355941065,0.295983478403041,1.0,True,1.9467940058588769
CAMBODIA,CAMBODIA,2013-03-17,a_rain,72,0.13942148529411763,-0.07328755050760286,0.3521305210958381,0.09382189685766637,0.05390777813246327,0.3,True,0.21270903580172046
COLOMBIA,ARAUCA,2002-11-10,a_temp,72,0.4642399508196722,-1.2138799837860232,2.1423598854253676,0.5741357142507878,0.623157126715738,1.0,True,1.6781199346056954
COLOMBIA,ARAUCA,2002-11-10,a_rain,72,0.20190429508196722,-0.01573550712573915,0.41954409728967357,0.07142558333185023,0.08335397948555391,0.3,True,0.21763980220770635
COLOMBIA,CAQUETA,2002-05-19,a_temp,72,2.0384015588235296,-2.615470950666466,6.692274068313525,1.8236227322932559,1.4986143465870858,1.0,True,4.653872509489996
COLOMBIA,CAQUETA,2002-05-19,a_rain,72,0.2182786617647059,-0.6430901318260687,1.0796474553554805,0.3761027729455388,0.2246253476787057,0.3,True,0.8613687935907746
COLOMBIA,COLOMBIA,2018-11-04,a_temp,72,1.0025297068965517,-0.05074586659370239,2.0558052803868057,0.3733561036342031,0.37909954827176984,1.0,True,1.0532755734902541
COLOMBIA,COLOMBIA,2018-11-04,a_rain,72,0.24177301724137934,0.06812916887724593,0.4154168656055127,0.04822202673464225,0.07260564585376128,0.3,True,0.17364384836413338
COLOMBIA,SUCRE,2002-02-24,a_temp,72,1.7843545285714282,-7.293186668094324,10.861895725237181,4.2281432685312055,1.8715576452120652,1.0,True,9.077541196665752
COLOMBIA,SUCRE,2002-02-24,a_rain,72,0.2535532857142857,-0.17803990024148492,0.6851464716700564,0.1815513418862554,0.12304957085040122,0.3,True,0.4315931859557707
COLOMBIA,TOLIMA,2002-04-07,a_temp,72,0.5242290579710145,-0.8218801181482467,1.8703382340902757,0.42115433014398534,0.5327355807178003,1.0,True,1.3461091761192612
COLOMBIA,TOLIMA,2002-04-07,a_rain,72,0.22051621739130436,0.006034752815149896,0.4349976819674588,0.036498129818873765,0.10081611154325507,0.3,True,0.21448146457615447
COSTA RICA,COSTA RICA,2017-03-05,a_temp,72,0.5649900277777777,-1.870710212459095,3.0006902680146506,1.0425880519978676,0.668301730617262,1.0,True,2.435700240236873
COSTA RICA,COSTA RICA,2017-03-05,a_rain,72,0.23089129166666666,0.010906881457268897,0.4508757018760644,0.051029718380022876,0.09795156101689308,0.3,True,0.21998441020939774
COSTA RICA,COSTA RICA,2023-05-14,a_temp,72,0.30265439130434785,-1.5967928761113217,2.2021016587200175,0.8349285002213481,0.486289285995735,1.0,True,1.8994472674156695
COSTA RICA,COSTA RICA,2023-05-14,a_rain,72,0.2130515072463768,-0.11318921596917628,0.5392922304619299,0.06300639511675538,0.15064849172178174,0.3,True,0.3262407232155531
DOMINICAN REPUBLIC,DISTRITO NACIONAL,2009-06-07,a_temp,72,6.391546056338028,-11.71141404521143,24.49450615788749,6.193287336347,6.740739696032754,1.0,True,18.10296010154946
DOMINICAN REPUBLIC,DISTRITO NACIONAL,2009-06-07,a_rain,72,0.18694352112676058,-0.34476937225715654,0.7186564145106777,0.12135077273342762,0.23764254185416858,0.3,True,0.5317128933839171
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2018-08-19,a_temp,72,1.585159013888889,-6.107516459294116,9.277834487071894,3.705683771511367,1.282114022028819,1.0,True,7.692675473183005
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2018-08-19,a_rain,72,0.1548133611111111,-0.1111223567715639,0.4207490789937861,0.10715967647919156,0.08213341944876419,0.3,True,0.265935717882675
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2021-05-30,a_temp,72,0.27225116666666666,-12.533980865392461,13.078483198725795,6.493148986531854,0.7235502508124314,1.0,True,12.806232032059128
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,2021-05-30,a_rain,72,0.208863625,-0.059676037042252994,0.477403287042253,0.12488822249610293,0.055803099946563246,0.3,True,0.268539662042253
ECUADOR,ECUADOR,2015-01-18,a_temp,72,5.0130484583333335,-2.551700649045423,12.577797565712089,2.936277730541146,2.4701842715639253,1.0,True,7.564749107378756
ECUADOR,ECUADOR,2015-01-18,a_rain,72,0.220880375,-0.049230788968565004,0.49099153896856496,0.07901107640581513,0.11087366913102363,0.3,True,0.270111163968565
ECUADOR,ECUADOR,2018-11-11,a_temp,72,1.1951592575757575,-3.0562661557945905,5.446584670946105,1.203776224708628,1.7681852526166293,1.0,True,4.251425413370348
ECUADOR,ECUADOR,2018-11-11,a_rain,72,0.24044589393939395,0.015216721444716197,0.4656750664340717,0.04054524730115875,0.1049922924701001,0.3,True,0.22522917249467775
ECUADOR,ORELLANA,2019-12-29,a_temp,72,0.2638955217391304,-3.403341669741866,3.931132713220127,1.766102718974798,0.6122851130956694,1.0,True,3.6672371914809965
ECUADOR,ORELLANA,2019-12-29,a_rain,72,0.22819733333333336,-0.15308778763922803,0.6094824543058948,0.1677760474854518,0.09732062066886213,0.3,True,0.3812851209725614
EL SALVADOR,EL SALVADOR,2014-03-16,a_temp,72,0.9902962608695652,-2.361148279829965,4.341740801569095,1.2666938031915884,1.1314070187427043,1.0,True,3.3514445406995304
EL SALVADOR,EL SALVADOR,2014-03-16,a_rain,72,0.3735878695652174,0.11324867258631327,0.6339270665441215,0.09413941491129303,0.09222481615450767,0.3,True,0.26033919697890406
EL SALVADOR,EL SALVADOR,2021-12-12,a_temp,72,0.8514077323943663,-2.3334887063086542,4.036304171097387,1.2804967836730399,0.9870477295948612,1.0,True,3.1848964387030207
EL SALVADOR,EL SALVADOR,2021-12-12,a_rain,72,0.27978312676056344,0.12398484817628139,0.43558140534484546,0.041489478062193545,0.0664944339855234,0.3,True,0.15579827858428202
FRENCH GUIANA,FRENCH GUIANA,2020-01-05,a_temp,72,4.045419314285714,-8.165579638002036,16.256418266573462,4.354810308053981,4.3848984467551295,1.0,True,12.21099895228775
FRENCH GUIANA,FRENCH GUIANA,2020-01-05,a_rain,72,0.2795572285714286,0.09147347507700793,0.4676409820658493,0.05955415183223705,0.0739214779465486,0.3,True,0.1880837534944207
GUADELOUPE,GUADELOUPE,2019-11-03,a_temp,72,0.4834731666666667,-4.082565906244453,5.049512239577785,2.2302689360262957,0.6671180915489823,1.0,True,4.566039072911119
GUADELOUPE,GUADELOUPE,2019-11-03,a_rain,72,0.09732243939393938,-0.5687822138687769,0.7634270926566556,0.2601101512161373,0.21544700046955179,0.3,True,0.6661046532627163
GUATEMALA,GUATEMALA,2014-06-29,a_temp,72,1.8528214264705882,-0.9744806163855633,4.680123469326739,1.37674467131765,0.42683361880662785,1.0,True,2.827302042856151
GUATEMALA,GUATEMALA,2014-06-29,a_rain,72,0.07247525,-0.29794579208355154,0.4428962920835515,0.127016466757441,0.13757551710593866,0.3,True,0.37042104208355153
GUATEMALA,GUATEMALA,2019-04-28,a_temp,72,1.7046365833333335,-1.5858285742519507,4.995101740918617,1.3377565003578338,1.001196895509313,1.0,True,3.2904651575852837
GUATEMALA,GUATEMALA,2019-04-28,a_rain,72,0.09356951388888889,-0.35861139274334924,0.545750420521127,0.0909097093236226,0.2075771525182318,0.3,True,0.4521809066322381
GUYANA,GUYANA,2023-11-12,a_temp,72,4.116221111111111,-3.494009134881681,11.726451357103903,2.7918979979212173,2.658188463455101,1.0,True,7.610230245992792
GUYANA,GUYANA,2023-11-12,a_rain,72,0.39241045833333327,0.07850765453593583,0.7063132621307306,0.08504330539577402,0.13315066663618402,0.3,True,0.31390280379739743
HONDURAS,HONDURAS,2018-09-02,a_temp,72,1.5643050606060607,-0.3114518823172465,3.440062003529368,0.7825348077197686,0.5435071933198558,1.0,True,1.8757569429233074
HONDURAS,HONDURAS,2018-09-02,a_rain,72,0.1568494242424242,-0.07861801383571956,0.39231686232056795,0.05672863009112023,0.10360507196643944,0.3,True,0.23546743807814374
HONDURAS,HONDURAS,2021-04-25,a_temp,72,0.1757447857142857,-1.5080264554801788,1.8595160269087503,0.8139112268466909,0.2724726882981699,1.0,True,1.6837712411944645
HONDURAS,HONDURAS,2021-04-25,a_rain,72,0.2375706571428571,-0.05037330709179963,0.5255146213775138,0.07968478454044499,0.12105492651300545,0.3,True,0.28794396423465674
JAMAICA,JAMAICA,2019-06-09,a_temp,72,2.550795318181818,-19.66018960779709,24.76178024416073,10.99861304713579,2.706563342433518,1.0,True,22.21098492597891
JAMAICA,JAMAICA,2019-06-09,a_rain,72,0.04011310606060606,-0.8184521537271591,0.8986783658483711,0.3301710932787176,0.2834642257983362,0.3,True,0.8585652597877651
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2018-03-25,a_temp,72,0.9465415833333333,-2.825607971534283,4.71869113820095,1.8411188830352667,0.5560333953795047,1.0,True,3.7721495548676165
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2018-03-25,a_rain,72,0.2886363055555556,-0.013700611804953688,0.5909732229160649,0.13987858247596774,0.06438988540871597,0.3,True,0.30233691736050927
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2020-03-15,a_temp,72,1.7353490000000003,-1.1131277545060785,4.583825754506079,1.0983282496480162,0.9384076267332179,1.0,True,2.8484767545060787
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2020-03-15,a_rain,72,0.38398344444444443,0.17148528397088597,0.5964816049180028,0.08691268007116555,0.06398246313956131,0.3,True,0.21249816047355843
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2022-04-10,a_temp,72,0.7945701594202899,-7.074639438220571,8.663779757061151,3.4470093916524704,2.034471387813419,1.0,True,7.869209597640861
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,2022-04-10,a_rain,72,0.14697402898550727,-0.653510669997127,0.9474587279681416,0.22482150353113467,0.3343817824456478,0.3,True,0.8004846989826343
MEXICO,BAJA CALIFORNIA SUR,2003-06-08,a_temp,72,2.8042838000000003,-9.967018951980307,15.575586551980308,5.926719641873884,2.680816605001455,1.0,True,12.771302751980308
MEXICO,BAJA CALIFORNIA SUR,2003-06-08,a_rain,72,-0.3133186285714286,-4.515132081119196,3.8884948239763393,1.6583897789240623,1.3396052706349264,0.3,True,4.201813452547768
MEXICO,CHIAPAS,2005-05-08,a_temp,72,2.1129313194444443,-8.176045994199058,12.401908633087945,4.790575100343071,2.125942127396167,1.0,True,10.288977313643501
MEXICO,CHIAPAS,2005-05-08,a_rain,72,0.28034854166666673,-0.27143257230202883,0.8321296556353623,0.22786549755993363,0.16324203591435335,0.3,True,0.5517811139686956
MEXICO,CHIAPAS,2006-04-02,a_temp,72,0.36148122222222223,-1.816219860996958,2.5391823054414027,1.0098934455637028,0.45875787180389005,1.0,True,2.1777010832191803
MEXICO,CHIAPAS,2006-04-02,a_rain,72,0.35522169444444446,-0.2155315704797865,0.9259749593686755,0.1256590331491776,0.25730771398149765,0.3,True,0.570753264924231
MEXICO,COLIMA,2005-06-26,a_temp,72,2.6750206197183095,-8.512306970016201,13.862348209452822,5.299934922680262,2.099472769055687,1.0,True,11.187327589734512
MEXICO,COLIMA,2005-06-26,a_rain,72,-0.04011971830985916,-0.9638648057120814,0.8836253690923631,0.3552810774340568,0.30526638554969765,0.3,True,0.9237450874022223
MEXICO,COLIMA,2006-07-16,a_temp,72,3.7620899722222223,-4.749579682678423,12.273759627122867,3.948140905522947,1.7911179551093652,1.0,True,8.511669654900645
MEXICO,COLIMA,2006-07-16,a_rain,72,-0.08358205555555556,-0.7172213059723136,0.5500571948612025,0.2903915987200397,0.14065438744916953,0.3,True,0.6336392504167581
MEXICO,GUERRERO,2006-06-18,a_temp,72,2.6797412857142855,-7.558712203846833,12.918194775275404,4.8560114383054245,1.90727968954725,1.0,True,10.238453489561119
MEXICO,GUERRERO,2006-06-18,a_rain,72,0.1659766571428572,-1.0142107933952125,1.3461641076809268,0.40317788514741587,0.4398527994044255,0.3,True,1.1801874505380696
MEXICO,GUERRERO,2007-05-13,a_temp,72,1.127175957746479,-4.944117307919919,7.198469223412877,2.6850156391423967,1.527433501537478,1.0,True,6.071293265666398
MEXICO,GUERRERO,2007-05-13,a_rain,72,0.3722274788732394,-0.08229110081347968,0.8267460585599585,0.1074368567773517,0.20133846560618546,0.3,True,0.4545185796867191
MEXICO,MEXICO,2014-03-23,a_temp,72,0.8898422112676055,-1.5812078317120655,3.3608922542472763,0.884375966038702,0.8845745513577847,1.0,True,2.471050042979671
MEXICO,MEXICO,2014-03-23,a_rain,72,0.1106427042253521,-2.1324988873279356,2.35378429577864,0.6458335950260794,0.9273513857484565,0.3,True,2.2431415915532877
MEXICO,MEXICO,2017-04-16,a_temp,72,2.4636323239436617,-1.7468453600051035,6.674110007892427,1.3063652230402816,1.6753122153334523,1.0,True,4.210477683948765
MEXICO,MEXICO,2017-04-16,a_rain,72,-0.45297857746478865,-12.621284649372344,11.715327494442766,2.481079401703812,5.570042816844177,0.3,True,12.168306071907555
MEXICO,MEXICO,2019-06-09,a_temp,72,0.5107374788732394,-0.9242023371249098,1.9456772948713885,0.5510554611576425,0.4751285726756754,1.0,True,1.4349398159981492
MEXICO,MEXICO,2019-06-09,a_rain,72,-0.07103621126760563,-1.3824792637760934,1.240406841240882,0.5613783851186368,0.3597367206626423,0.3,True,1.3114430525084877
MEXICO,MEXICO,2022-03-27,a_temp,72,0.7457377571428572,-1.7778934776237343,3.269368991909449,0.9919765315418938,0.8093691303727257,1.0,True,2.5236312347665915
MEXICO,MEXICO,2022-03-27,a_rain,72,-2.627620414285715,-20.165988795886808,14.910747967315377,5.532737303251639,6.908585742549146,0.3,True,17.538368381601092
MEXICO,MICHOACAN,2006-06-25,a_temp,72,0.25473518840579706,-2.3157262172205835,2.8251965940321773,1.257883324610233,0.3679232061267228,1.0,True,2.5704614056263804
MEXICO,MICHOACAN,2006-06-25,a_rain,72,0.013510202898550728,-0.9783202773444545,1.005340683141556,0.3491528657755445,0.36033265256584046,0.3,True,0.9918304802430051
MEXICO,VERACRUZ,2003-07-13,a_temp,72,6.239191633802817,-9.671720887426513,22.15010415503215,7.981043950780509,1.4734708371459373,1.0,True,15.910912521229331
MEXICO,VERACRUZ,2003-07-13,a_rain,72,0.23208260563380279,-2.424118815801997,2.8882840270696026,1.2983589577365795,0.3852206489198284,0.3,True,2.6562014214358
MEXICO,VERACRUZ,2005-05-22,a_temp,72,6.126679597222222,-13.98747825681221,26.240837451256652,9.562731973335435,3.6908447415444554,1.0,True,20.11415785403443
MEXICO,VERACRUZ,2005-05-22,a_rain,72,0.15868583333333333,-0.8815010424633057,1.1988727091299725,0.4820076006355115,0.2199231734091844,0.3,True,1.040186875796639
NEW CALEDONIA,NEW CALEDONIA,2012-11-11,a_temp,72,1.6853681805555556,-0.6153110690050185,3.9860474301161295,0.6547895813821393,0.9563294247962697,1.0,True,2.300679249560574
NEW CALEDONIA,NEW CALEDONIA,2012-11-11,a_rain,72,0.026792124999999996,-0.3836131623943657,0.4371974123943657,0.05379564808103285,0.19778814169661701,0.3,True,0.4104052873943657
NICARAGUA,CARAZO,2009-08-09,a_temp,72,4.136106099999999,-36.51966740685784,44.79187960685784,20.42807493118528,3.574172659514246,1.0,True,40.65577350685784
NICARAGUA,CARAZO,2009-08-09,a_rain,72,0.6337587714285714,-3.680259738440513,4.947777281297656,2.165794962791324,0.3894919377048855,0.3,True,4.314018509869085
NICARAGUA,CHONTALES,2009-06-28,a_temp,72,0.9030612307692308,-10.917239012559486,12.723361474097947,5.850768469064576,1.4501318048011809,1.0,True,11.820300243328717
