country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BARBADOS,BARBADOS,2020-08-23,poisson,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,5.170937,0.25662,0.262718,0.145791,0.144669
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,hostvector,central,1.0,0.3,0.173513,0.0,7.048217,0.269436,0.363112,0.170247,0.228905
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,8.253292,0.290526,0.424483,0.140167,0.220361
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,seir,central,1.0,0.3,0.173513,0.0,7.724002,0.394432,0.406514,0.357779,0.52676
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,seir,alt,1.0,0.3,0.173513,0.0,8.301771,0.430638,0.447939,0.44711,0.705546
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,6.617921,0.257325,0.338057,0.175869,0.222398
BARBADOS,BARBADOS,2020-08-23,poisson,5,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,8.091938,0.279752,0.415834,0.14427,0.222355
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,hostvector,central,1.0,0.3,0.173513,0.0,3.498956,0.221295,0.195446,0.198024,0.151008
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,hostvector,alt,1.0,0.3,0.173513,0.0,4.15744,0.228712,0.2387,0.164601,0.1485
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,seir,central,1.0,0.3,0.173513,0.0,4.498774,0.401314,0.329079,0.444305,0.438648
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,seir,alt,1.0,0.3,0.173513,0.0,0.724437,0.469606,0.18198,0.561901,0.112546
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,3.474372,0.212314,0.199744,0.202913,0.153546
BARBADOS,BARBADOS,2020-08-23,poisson,7,1.0,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,3.001922,0.221828,0.184996,0.168158,0.109693
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,hostvector,central,1.0,0.3,0.173513,0.0,4.321096,0.256302,0.25269,0.197411,0.185328
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,hostvector,alt,1.0,0.3,0.173513,0.0,4.919468,0.271582,0.298214,0.164033,0.174565
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,seir,central,1.0,0.3,0.173513,0.0,0.342839,0.456664,0.198344,0.444372,0.047033
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,seir,alt,1.0,0.3,0.173513,0.0,0.812881,0.515749,0.195316,0.562535,0.035254
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,hostvector_tempmort,central,1.0,0.3,0.173513,0.0,4.164548,0.24668,0.246829,0.202357,0.182954
BARBADOS,BARBADOS,2020-08-23,poisson,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.173513,0.0,4.641128,0.263445,0.282599,0.167644,0.168372
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,hostvector,central,1.0,0.3,0.202705,5.9e-05,0.823432,0.233552,0.046968,0.153771,0.039506
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,hostvector,alt,1.0,0.3,0.202705,0.084516,0.987139,0.266722,0.057762,0.128568,0.03961
