country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,hostvector,alt,1.0,0.3,1.268854,1.039179,-0.232359,0.093789
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,seir,central,1.0,0.3,0.798484,0.780665,-0.234841,0.089156
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,seir,alt,1.0,0.3,0.830966,0.82657,-0.244017,0.088643
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,hostvector_tempmort,central,1.0,0.3,0.994784,0.817716,-0.19672,0.082213
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,1.0,hostvector_tempmort,alt,1.0,0.3,1.309125,1.02423,-0.231098,0.092075
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,hostvector,central,1.0,0.3,2.125147,1.342923,-0.244148,0.098248
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,hostvector,alt,1.0,0.3,2.404298,1.589561,-0.273913,0.11033
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,seir,central,1.0,0.3,2.251504,1.49025,-0.287084,0.105566
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,seir,alt,1.0,0.3,2.199994,1.606939,-0.289238,0.106822
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,hostvector_tempmort,central,1.0,0.3,2.228313,1.315256,-0.244527,0.096478
BOLIVIA,BOLIVIA,2019-11-10,poisson,7,0.75,hostvector_tempmort,alt,1.0,0.3,2.47876,1.561131,-0.273691,0.108497
BOLIVIA,BENI,2021-12-05,nb,3,1.0,hostvector,central,1.0,0.3,0.618119,1.579036,0.174265,0.097366
BOLIVIA,BENI,2021-12-05,nb,3,1.0,hostvector,alt,1.0,0.3,0.787603,1.85048,0.244602,0.118238
BOLIVIA,BENI,2021-12-05,nb,3,1.0,seir,central,1.0,0.3,0.421194,1.894692,0.132055,0.108573
BOLIVIA,BENI,2021-12-05,nb,3,1.0,seir,alt,1.0,0.3,0.241182,2.066889,0.139758,0.113631
BOLIVIA,BENI,2021-12-05,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.659904,1.598426,0.16863,0.097806
BOLIVIA,BENI,2021-12-05,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.832057,1.869159,0.238363,0.118353
BOLIVIA,BENI,2021-12-05,nb,3,0.75,hostvector,central,1.0,0.3,0.117807,1.699271,0.33802,0.111576
BOLIVIA,BENI,2021-12-05,nb,3,0.75,hostvector,alt,1.0,0.3,1e-06,1.93657,0.391832,0.127669
BOLIVIA,BENI,2021-12-05,nb,3,0.75,seir,central,1.0,0.3,0.471398,2.275138,0.362872,0.142153
BOLIVIA,BENI,2021-12-05,nb,3,0.75,seir,alt,1.0,0.3,0.445131,2.525183,0.363927,0.150167
BOLIVIA,BENI,2021-12-05,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,0.169047,1.704053,0.337599,0.11148
BOLIVIA,BENI,2021-12-05,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.034864,1.938311,0.390846,0.127469
BOLIVIA,BENI,2021-12-05,nb,5,1.0,hostvector,central,1.0,0.3,2.400378,1.792201,-0.02887,0.101416
BOLIVIA,BENI,2021-12-05,nb,5,1.0,hostvector,alt,1.0,0.3,3.101701,2.110773,-0.020308,0.122616
BOLIVIA,BENI,2021-12-05,nb,5,1.0,seir,central,1.0,0.3,3.247467,2.127145,-0.132275,0.100145
BOLIVIA,BENI,2021-12-05,nb,5,1.0,seir,alt,1.0,0.3,3.788267,2.415298,-0.160013,0.100087
BOLIVIA,BENI,2021-12-05,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,2.480524,1.804973,-0.036457,0.100952
BOLIVIA,BENI,2021-12-05,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,3.201086,2.120277,-0.029349,0.121531
